报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2020年1月22日,湖北,荆州市,6,0,0,新华社,http://finance.sina.com.cn/wm/2020-01-23/doc-iihnzhha4213393.shtml,,,
2020年1月22日,湖北,荆门市,1,0,0,新华社,http://finance.sina.com.cn/wm/2020-01-23/doc-iihnzhha4213393.shtml,,,
2020年1月22日,河北,石家庄市,1,0,0,国家卫建委,https://www.thepaper.cn/newsDetail_forward_5609989,,,
2020年1月22日,北京,石景山区,1,0,0,人民日报,https://wap.peopleapp.com/article/5068311/4962698,,,
2020年1月22日,北京,西城区,1,0,0,人民日报,https://wap.peopleapp.com/article/5068311/4962698,,,
2020年1月22日,北京,外地来京,1,0,0,人民日报,https://wap.peopleapp.com/article/5068311/4962698,,,
2020年1月22日,北京,朝阳区,1,0,0,人民日报,https://wap.peopleapp.com/article/5068311/4962698,,,
2020年1月22日,泰国,,0,1,0,泰国卫生部,http://news.sina.com.cn/o/2020-01-22/doc-iihnzhha4102917.shtml,,,
2020年1月22日,泰国,,0,1,0,泰国卫生部,http://news.sina.com.cn/o/2020-01-22/doc-iihnzhha4102917.shtml,,,
2020年1月22日,泰国,,1,0,0,泰国公共卫生部,http://www.bjnews.com.cn/world/2020/01/22/677873.html,,,
2020年1月23日,江苏,苏州市,1,0,0,国家卫建委,https://wap.peopleapp.com/article/5068314/4962701,,,
2020年1月23日,黑龙江,牡丹江市,1,0,0,新京报,https://weibointl.api.weibo.cn/share/114884188.html?weibo_id=4463697281849103,,,
2020年1月23日,广西,北海市,2,0,0,央视新闻,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtirN4tDosOvaA6j2UZyrnG200123&fromapp=cctvnews&version=803&version=803&allow_comment=1,,,
2020年1月23日,广西,柳州市,1,0,0,央视新闻,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtirN4tDosOvaA6j2UZyrnG200123&fromapp=cctvnews&version=803&version=803&allow_comment=1,,,
