报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2月17日,广东,河源市,1,0,0,央视,http://m.news.cctv.com/2020/02/17/ARTIyo5qn23mUQPeTOPBTvnE200217.shtml,,,
2月17日,广东,东莞市,0,3,0,东莞日报,https://mp.weixin.qq.com/s/5gh8Q4E2VvOCPad6WB4DEg,,,
2月17日,陕西,西安市,3,0,0,央视,http://m.news.cctv.com/2020/02/17/ARTIH2BUMu74vpuegzOJDaRc200217.shtml,,,
2月17日,陕西,安康市,1,0,0,央视,http://m.news.cctv.com/2020/02/17/ARTIH2BUMu74vpuegzOJDaRc200217.shtml,,,
2月17日,陕西,宝鸡市,0,1,0,央视、陕西都市快报,http://m.news.cctv.com/2020/02/17/ARTIH2BUMu74vpuegzOJDaRc200217.shtml,https://weibointl.api.weibo.cn/share/124648913.html?weibo_id=4473000562768743,,
2月17日,辽宁,朝阳市,0,1,0,央视,http://m.news.cctv.com/2020/02/17/ARTIYQyaSBeA95T07moi6Tw4200217.shtml,,,
2月17日,江西,宜春市,2,4,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,南昌市,1,14,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,景德镇市,1,2,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,萍乡市,1,1,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,新余市,0,7,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,上饶市,0,4,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,抚州市,0,2,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,赣州市,0,1,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,江西,吉安市,0,1,0,央视,http://m.news.cctv.com/2020/02/17/ARTIp8C9FuNlPAguszMuMDXU200217.shtml,,,
2月17日,河南,开封市,0,1,0,开封卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200217/8494.html,,,
2月17日,内蒙古,锡林郭勒盟,2,0,0,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/17/292304.shtml,,,
2月17日,新疆,伊犁州,2,0,0,央视,http://m.news.cctv.com/2020/02/17/ARTIQSlLpYaIRWrluVjdR2jY200217.shtml,,,
2月17日,新疆,新疆生产建设兵团,2,0,0,央视,http://m.news.cctv.com/2020/02/17/ARTIQSlLpYaIRWrluVjdR2jY200217.shtml,,,
2月17日,新疆,乌鲁木齐市,0,1,0,央视,http://m.news.cctv.com/2020/02/17/ARTIQSlLpYaIRWrluVjdR2jY200217.shtml,,,
2月17日,天津,宝坻区,1,0,0,央视,http://m.news.cctv.com/2020/02/17/ARTIWjL3Mgcm8MJXMAivpPAX200217.shtml,,,
2月17日,天津,宝坻区,0,2,0,央视,http://m.news.cctv.com/2020/02/17/ARTIWjL3Mgcm8MJXMAivpPAX200217.shtml,,,
2月17日,天津,和平区,0,2,0,天津卫建委,http://wsjk.tj.gov.cn/art/2020/2/17/art_87_71003.html,,,
2月17日,天津,西青区,0,1,0,天津卫建委,http://wsjk.tj.gov.cn/art/2020/2/17/art_87_71003.html,,,
2月17日,天津,津南区,0,1,0,天津卫建委,http://wsjk.tj.gov.cn/art/2020/2/17/art_87_71003.html,,,
2月17日,天津,滨海新区,0,1,0,天津卫建委,http://wsjk.tj.gov.cn/art/2020/2/17/art_87_71003.html,,,
2月17日,天津,外地来津,0,1,0,天津卫建委,http://wsjk.tj.gov.cn/art/2020/2/17/art_87_71003.html,,,
2月17日,广东,中山市,0,5,0,中山发布,https://mp.weixin.qq.com/s/uey24AwqJJTt_u4xXlvLnA,,,
2月17日,山西,阳泉市,0,1,0,山西卫建委,http://wjw.shanxi.gov.cn/wjywl02/24937.hrh,,,
2月17日,山西,忻州市,0,1,0,山西卫建委,http://wjw.shanxi.gov.cn/wjywl02/24937.hrh,,,
2月17日,河南,驻马店市,0,8,0,驻马店卫健委,http://www.zmdwsj.gov.cn/pub/info/2020/0217/852.html,,,
2月17日,河南,商丘市,0,16,0,商丘发布,https://m.weibo.cn/3586599515/4472921109810461,,,
2月17日,河南,许昌市,0,2,0,许昌发布,https://m.weibo.cn/3819347569/4472920572816034,,,
2月17日,海南,海口市,1,0,0,海口网,https://mp.weixin.qq.com/s/FygNeOjlGuprwrBoC68ncw,,,
2月17日,上海,浦东新区,1,0,0,上海卫健委,https://mp.weixin.qq.com/s/OPzR9M4RFM4ys2mybdujvA,,,
2月17日,贵州,贵阳市,0,0,0,贵阳都市报,https://m.weibo.cn/1973634817/4472939624028671,,,按央视的算正好，加上这个会多
2月17日,贵州,贵阳市,0,0,0,贵阳日报,https://m.weibo.cn/3355059790/4472913690508428,,,按央视的算正好，加上这个会多
2月17日,云南,昆明市,0,3,0,昆明发布,https://m.weibo.cn/3816699409/4472900775772554,,,
2月17日,黑龙江,绥化市,0,1,0,黑龙江发布,https://m.weibo.cn/3950759014/4472951313515350,,,
2月17日,四川,绵阳市,0,3,0,绵羊日报,https://m.weibo.cn/2266137860/4472922159099892,,,
2月17日,四川,遂宁市,0,1,0,遂宁卫健委,https://m.weibo.cn/3652116925/4472954132362552,,,
2月17日,江苏,苏州市,0,5,0,苏州发布,https://mp.weixin.qq.com/s/-l-PDGuFehWz_IWL_Vzrpg,,,
2月17日,江苏,淮安市,0,7,0,淮安发布,https://mp.weixin.qq.com/s/CZvcOcfDbzzEd-KnzABEfw,,,
2月17日,江苏,南通市,0,1,0,南通发布,https://mp.weixin.qq.com/s/M1DxfHDGd_CZyvxbWdmPFQ,,,
2月17日,江苏,徐州市,0,8,0,徐州发布,https://m.weibo.cn/3514316985/4472931789015140,,,
2月17日,安徽,阜阳市,0,4,0,新安晚报,https://m.weibo.cn/1751714412/4472931029632384,,,
2月17日,安徽,六安市,0,5,0,六安发布,https://m.weibo.cn/3021918593/4472930840998927,,,
2月17日,安徽,铜陵市,0,1,0,铜陵发布,https://m.weibo.cn/2365660032/4472910913588341,,,
2月17日,广东,广州市,0,10,0,广州卫健委,https://m.weibo.cn/3186551317/4472889350872836,,,
2月17日,广东,珠海市,0,4,0,羊城晚报,https://m.weibo.cn/5787187353/4472906635663768,,,
